case_id,anomalies
1-147898401,accepted  in  progress occurred before accepted  wait; accepted  wait occurred after accepted  in  progress
1-165554831,accepted  in  progress occurred before accepted  wait; accepted  wait occurred after accepted  in  progress
1-182640781,accepted  assigned occurred before accepted  in  progress; accepted  wait occurred after accepted  in  progress; accepted  in  progress occurred after accepted  assigned
1-230541365,accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  wait
1-236817141,"completed  closed occurred before accepted  assigned, accepted  wait; accepted  in  progress occurred before accepted  assigned, accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  assigned, accepted  in  progress, completed  closed; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress, completed  closed"
1-270427461,accepted  in  progress occurred before accepted  wait; accepted  wait occurred after accepted  in  progress
1-345132462,"accepted  in  progress occurred before accepted  assigned, accepted  wait; accepted  wait occurred after accepted  assigned, accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-351314317,"completed  closed occurred before accepted  in  progress; accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-354350908,accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  wait
1-359841262,"accepted  in  progress occurred before accepted  assigned, queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress; accepted  assigned occurred after accepted  in  progress"
1-360072755,"accepted  assigned occurred before accepted  in  progress, accepted  wait; queued  awaiting  assignment occurred before accepted  assigned; accepted  in  progress occurred after accepted  assigned, accepted  wait; accepted  wait occurred after accepted  assigned"
1-360464815,accepted  wait occurred before accepted  in  progress; accepted  in  progress occurred after accepted  wait
1-363206822,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-366923538,completed  closed occurred before accepted  in  progress; accepted  in  progress occurred after completed  closed
1-367921041,accepted  in  progress occurred before accepted  assigned; accepted  assigned occurred after accepted  in  progress
1-370436092,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-372029512,"completed  closed occurred before accepted  assigned, accepted  wait; accepted  wait occurred after completed  closed; accepted  assigned occurred after completed  closed"
1-374832944,accepted  assigned occurred before accepted  in  progress; accepted  in  progress occurred after accepted  assigned
1-375644051,"accepted  in  progress occurred before accepted  wait, queued  awaiting  assignment; accepted  wait occurred after accepted  in  progress; queued  awaiting  assignment occurred after accepted  in  progress"
1-378050311,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-380632889,accepted  in  progress occurred before queued  awaiting  assignment; queued  awaiting  assignment occurred after accepted  in  progress
1-382209384,accepted  assigned occurred before accepted  in  progress; accepted  in  progress occurred after accepted  assigned
1-384097130,"accepted  assigned occurred before accepted  in  progress, accepted  wait; accepted  in  progress occurred after accepted  assigned, accepted  wait; accepted  wait occurred after accepted  assigned"
